Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
4,police,police
5,pensais,thought
7,genre,kind
8,mois,month
10,laisser,let
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,arrivé,come
19,devrait,should
20,bébé,baby
24,pendant,while
25,aucune,any
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
37,train,train
38,corps,body
39,endroit,place
40,façon,way
41,écoute,listen
42,dont,whose
43,trouve,find
45,perdu,lost
46,main,hand
47,première,first
49,pouvoir,power
50,vieux,old
51,sois,be
52,tiens,here
54,tellement,so much
55,enfant,child
56,point,point
57,venu,came
58,suite,after
59,pardon,sorry
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,mis,placed
66,belle,beautiful
67,droit,law
69,aujourd'hui,today
70,mari,husband
72,enfin,finally
73,espère,hope
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,donne,given
82,loin,far
83,fin,end
84,croire,believe
85,chérie,sweetheart
86,gros,large
87,plutôt,rather
88,aura,will have
89,jouer,to play
90,bureau,office
